,Created Date,Negative,Neutral,Positive,Tweets Ago,Twitter Account,compound
73,2018-03-20 21:01:40+00:00,0.0,1.0,0.0,74,CNN,0.0
74,2018-03-20 21:00:40+00:00,0.0,1.0,0.0,75,CNN,0.0
75,2018-03-20 20:51:53+00:00,0.0,0.743,0.257,76,CNN,0.6369
76,2018-03-20 20:47:13+00:00,0.0,0.817,0.183,77,CNN,0.5859
77,2018-03-20 20:46:28+00:00,0.0,0.793,0.207,78,CNN,0.5267
78,2018-03-20 20:36:25+00:00,0.0,1.0,0.0,79,CNN,0.0
79,2018-03-20 20:31:36+00:00,0.0,1.0,0.0,80,CNN,0.0
80,2018-03-20 20:28:22+00:00,0.0,0.848,0.152,81,CNN,0.5267
81,2018-03-20 20:26:30+00:00,0.0,1.0,0.0,82,CNN,0.0
82,2018-03-20 20:15:15+00:00,0.0,1.0,0.0,83,CNN,0.0
83,2018-03-20 20:12:08+00:00,0.136,0.864,0.0,84,CNN,-0.296
84,2018-03-20 19:58:53+00:00,0.0,0.886,0.114,85,CNN,0.4019
85,2018-03-20 19:46:18+00:00,0.0,1.0,0.0,86,CNN,0.0
86,2018-03-20 19:32:09+00:00,0.0,0.802,0.198,87,CNN,0.6369
87,2018-03-20 19:29:06+00:00,0.0,1.0,0.0,88,CNN,0.0
88,2018-03-20 19:23:46+00:00,0.0,1.0,0.0,89,CNN,0.0
89,2018-03-20 19:22:05+00:00,0.0,1.0,0.0,90,CNN,0.0
90,2018-03-20 19:17:42+00:00,0.0,0.919,0.081,91,CNN,0.128
91,2018-03-20 19:10:09+00:00,0.063,0.814,0.122,92,CNN,0.3182
92,2018-03-20 19:04:31+00:00,0.069,0.931,0.0,93,CNN,-0.1027
93,2018-03-20 19:00:15+00:00,0.0,1.0,0.0,94,CNN,0.0
94,2018-03-20 18:55:04+00:00,0.157,0.843,0.0,95,CNN,-0.5994
95,2018-03-20 18:50:04+00:00,0.0,0.838,0.162,96,CNN,0.4767
96,2018-03-20 18:45:07+00:00,0.0,1.0,0.0,97,CNN,0.0
97,2018-03-20 18:40:09+00:00,0.0,1.0,0.0,98,CNN,0.0
98,2018-03-20 18:36:58+00:00,0.098,0.902,0.0,99,CNN,-0.3818
99,2018-03-20 18:35:08+00:00,0.0,1.0,0.0,100,CNN,0.0
0,2018-03-21 01:30:04+00:00,0.0,0.862,0.138,1,fox,0.4389
